date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:07	588/588	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:07%20GMT	https://sites.google.com/site/abyouthliturature/the-year-of-the-hangman/hat.png?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/hat.5f6fb5.delayed	(from https://sites.google.com/site/abyouthliturature/the-year-of-the-hangman)
10:06:07	6433/6433	---M--	200	added ('OK')	image/png	etag:%221500940030747%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/the-year-of-the-hangman/hat.png?attachauth=ANoY7cqryiTauGn_CUSh3XFizAoR-4zWv8OOO69TlIcTkmKR6Y0434wv9vR4IzndE4XaNEAWCrx3EVqAW2Ak4YsSaQF7mD802Pt_Q_24Qe4vjAyIUGxcwBlGqioQJp0nkW20RuI3IrICpuwUrG54Lg3Z2uwF9MQAU6mgTmnMXpxPkhOVqChls57xFHLJIcFjmLcni4Sb1AvP8W9J14GPzriwfeJcneRoNIcYh80ChpSu_Th18hnJp9nV8vZwS2fz3gbETL4qtk2P&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/hat68c5.png	(from https://sites.google.com/site/abyouthliturature/the-year-of-the-hangman)
10:06:08	7382/7382	U-----	200	untouched ('')	image/png	date:Tue,%2025%20Jul%202017%2002:06:42%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500940030768/the-year-of-the-hangman/hat.png	C:/temp/sites/Spy%20Lit/web/images/hat.png	(from https://sites.google.com/site/abyouthliturature/the-year-of-the-hangman)
10:06:08	2432/2432	U-----	200	untouched ('')	image/gif	date:Thu,%2013%20Jul%202017%2018:35:50%20GMT	https://ssl.gstatic.com/sites/p/643403/system/app/images/spinner.gif	C:/temp/sites/Spy%20Lit/web/images/spinner.gif	(from https://sites.google.com/site/abyouthliturature/home/hidden)
10:06:08	509/509	---MCZ	302	error ('Moved%20Temporarily')	text/html	etag:%221500988062459|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/system/app/pages/admin/revisions?wuid=wuid:gx:27e0965b8dc0d177	C:/temp/sites/Spy%20Lit/web/images/revisions.636402.delayed	(from https://sites.google.com/site/abyouthliturature/home/hidden)
10:06:08	572/572	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:09%20GMT	https://sites.google.com/site/abyouthliturature/home/hidden/spotlight.xml?attredirects=0&d=1	C:/temp/sites/Spy%20Lit/web/images/spotlight.649a1b.delayed	(from https://sites.google.com/site/abyouthliturature/home/hidden)
10:06:09	67/67	U-----	200	untouched ('OK')	text/plain	date:Fri,%2021%20Jul%202017%2020:18:28%20GMT	http://sites.google.com/robots.txt		(from https://sites.google.com/site/abyouthliturature/)
10:06:11	66/66	U--MCZ	200	updated ('OK')	text/html	etag:%221500988062459|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/system/app	C:/temp/sites/Spy%20Lit/web/app.html	(from https://sites.google.com/site/abyouthliturature/system/app/pages/sitemap/hierarchy)
10:06:11	66/66	U--MCZ	200	updated ('OK')	text/html	etag:%221500988062459|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/system/app/pages	C:/temp/sites/Spy%20Lit/web/pages.html	(from https://sites.google.com/site/abyouthliturature/system/app/pages/sitemap/hierarchy)
10:06:11	66/66	U--MCZ	200	updated ('OK')	text/html	etag:%221500988062459|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/system	C:/temp/sites/Spy%20Lit/web/system.html	(from https://sites.google.com/site/abyouthliturature/system/app/pages/sitemap/hierarchy)
10:06:12	1021/1021	U--MC-	200	updated ('OK')	text/css	date:Tue,%2025%20Jul%202017%2014:06:12%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/camelot/error.css	C:/temp/sites/Spy%20Lit/web/images/error.css	(from https://sites.google.com/site/abyouthliturature/system/app/pages/reportAbuse)
10:06:13	172/172	U--MCZ	200	updated ('OK')	text/html	etag:%221500988062459|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/system/app/pages/sitemap	C:/temp/sites/Spy%20Lit/web/sitemap.html	(from https://sites.google.com/site/abyouthliturature/system/app/pages/sitemap/hierarchy)
10:06:13	12233/12233	U--MC-	200	updated ('OK')	text/css	date:Tue,%2025%20Jul%202017%2014:06:12%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/camelot/dashboard.css	C:/temp/sites/Spy%20Lit/web/images/dashboard.css	(from https://sites.google.com/site/abyouthliturature/system/app/pages/reportAbuse)
